Name,Overall,Position
A. Jahanbakhsh,77.0,WM
J. Calleri,77.0,ST
Simão Acunha,77.0,CAM
N. Müller,77.0,WM
L. Ocampos,77.0,WM
J. Rodriguez,77.0,ST
V. Ibišević,77.0,ST
S. Rondón,77.0,ST
Victor Sánchez,77.0,CDM
D. Suárez,77.0,FB
K. Huntelaar,77.0,ST
L. Dubois,77.0,FB
André Pinto,77.0,CB
K. Lala,77.0,FB
O. Kıvrak,77.0,GK
A. Bertolacci,77.0,CM
E. Giaccherini,77.0,FW
A. Živković,77.0,FW
R. Ábila,77.0,ST
P. Diop,77.0,CM
D. Garmash,77.0,CM
T. Chandler,77.0,FB
R. Klavan,77.0,CB
A. Miranchuk,77.0,CAM
D. Da Silva,77.0,CB
D. Benaglio,77.0,GK
T. Rincón,77.0,CM
M. Pereira,77.0,FB
C. Borges,77.0,CDM
J. Sand,77.0,ST
Markel Bergara,77.0,CDM
Vágner Love,77.0,ST
B. Bourigeaud,77.0,WM
R. Soriano,77.0,CM
D. Kuzyaev,77.0,WM
R. Sambueza,77.0,WM
Montoya,77.0,FB
A. Poli,77.0,CM
C. Austin,77.0,ST
L. Tonelli,77.0,CB
M. Zárate,77.0,ST
J. Sancho,77.0,WM
D. Basta,77.0,FB
Marçal,77.0,FB
Munir,77.0,ST
G. Sio,77.0,ST
J. McCarthy,77.0,CDM
J. Aquino,77.0,WM
H. Pérez,77.0,WM
Jô,77.0,ST
R. Gurtner,77.0,GK
C. Sánchez,77.0,CDM
M. Sissoko,77.0,CM
W. Anton,77.0,CB
E. Skhiri,77.0,CM
Rúben Vezo,77.0,CB
Jorge Molina,77.0,ST
M. Hasebe,77.0,CB
A. Schürrle,77.0,WM
O. Ighalo,77.0,ST
L. Acosta,77.0,ST
V. Babacan,77.0,GK
R. Aguilar,77.0,FB
Yeray,77.0,CB
J. Defoe,77.0,ST
L. Schøne,77.0,CM
C. Ünder,77.0,WM
M. Dabbur,77.0,ST
Roberto,77.0,GK
Djaniny,77.0,ST
Wallace,77.0,CB
Pedro Obiang,77.0,CM
D. Heintz,77.0,CB
N. Mukiele,77.0,FB
T. Vermaelen,77.0,CB
I. Abate,77.0,FB
Diego Llorente,77.0,CB
C. Wood,77.0,ST
Formosandrinho,77.0,ST
E. Pulgar,77.0,CDM
V. Vasin,77.0,CB
V. Grifo,77.0,WM
A. Turan,77.0,CM
J. dos Santos,77.0,CM
D. Schwaab,77.0,CB
M. Schmelzer,77.0,FB
L. Spinazzola,77.0,WM
A. Dragović,77.0,CB
D. Pröpper,77.0,CM
R. Inglese,77.0,ST
A. Marchesín,77.0,GK
R. De Paul,77.0,FW
C. Gentner,77.0,CM
G. Murray,77.0,ST
Rafael Carioca,77.0,CDM
A. McCarthy,77.0,GK
L. Chichizola,77.0,GK
D. Zakaria,77.0,CM
G. Dzhikiya,77.0,CB
N. Castillo,77.0,ST
D. Origi,77.0,ST
O. Yokuşlu,77.0,CDM
D. Cheryshev,77.0,WM
D. Selke,77.0,ST
Wendell,77.0,FB
M. Layún,77.0,CM
Y. Sabaly,77.0,FB
P. Cutrone,77.0,ST
F. Marchetti,77.0,GK
W. Cyprien,77.0,CM
G. Paletta,77.0,CB
F. Caicedo,77.0,ST
Jordi Masip,77.0,GK
B. Espinosa,77.0,CB
M. Benassi,77.0,CM
P. Jagielka,77.0,CB
J. Kucka,77.0,CM
R. Brady,77.0,FB
A. Szymanowski,77.0,WM
W. Reid,77.0,CB
Cédric,77.0,FB
R. Civelli,77.0,CB
R. Loftus-Cheek,77.0,CM
S. De Maio,77.0,CB
S. Brown,77.0,CDM
A. Mitrović,77.0,ST
P. Skjelbred,77.0,CDM
D. Cvitanich,77.0,ST
K. Lasagna,77.0,ST
R. Palacio,77.0,ST
M. Wolf,77.0,WM
E. Gigliotti,77.0,ST
N. Jørgensen,77.0,ST
Laguardia,77.0,CB
J. Lukaku,77.0,WM
J. Augustin,77.0,ST
M. Diakhaby,77.0,CB
Douglas,77.0,GK
N. Pejčinović,77.0,CB
D. van de Beek,77.0,CAM
Borja Iglesias,77.0,ST
G. Shibasaki,77.0,WM
W. Hughes,77.0,WM
S. Boufal,77.0,WM
T. Kehrer,77.0,FB
M. Lang,77.0,FB
E. Gutiérrez,77.0,CM
D. Upamecano,77.0,CB
Jefferson,77.0,FB
W. Benítez,77.0,GK
E. Bardhi,77.0,CM
K. Mbodji,77.0,CB
B. Sarr,77.0,FB
F. Ferreyra,77.0,ST
Danilo,77.0,CB
A. Ayew,77.0,WM
K. Mitroglou,77.0,ST
J. Villar,77.0,GK
P. Herrmann,77.0,WM
D. da Costa,77.0,WM
V. Fischer,77.0,WM
Wesley,77.0,ST
D. Ginczek,77.0,ST
F. Kostić,77.0,WM
R. Fraser,77.0,WM
Cote,77.0,FB
H. Winks,77.0,CM
K. Mbabu,77.0,FB
M. Hinteregger,77.0,CB
L. Acosta,77.0,CAM
Sidcley,77.0,WM
M. Jørgensen,77.0,CB
M. Fabián,77.0,CAM
Carlos Eduardo,77.0,CAM
Rubén Castro,77.0,ST
L. Augustinsson,77.0,FB
S. Aziz,77.0,CB
G. Ochoa,77.0,GK
P. Hetemaj,77.0,CM
André André,77.0,CM
Vinícius Júnior,77.0,FW
B. Džemaili,77.0,CM
Juanpe,77.0,CB
K. Fortounis,77.0,CAM
M. Vorm,77.0,GK
B. Oczipka,77.0,FB
R. Bentancur,77.0,CM
T. Hernández,77.0,FB
M. Lowton,77.0,FB
I. Diop,77.0,CB
B. André,77.0,CDM
C. Piccini,77.0,FB
Paulinho,77.0,ST
A. Diawara,77.0,CM
Yuri Berchiche,77.0,FB
José Sá,77.0,GK
F. Kamano,77.0,FW
F. Cartabia,77.0,WM
E. Ünal,77.0,ST
I. Radovanović,77.0,CM
Renan Ribeiro,77.0,GK
Jony,77.0,WM
D. Buonanotte,77.0,CAM
Tomás Pina,77.0,CM
N. Pallois,77.0,CB
D. Latza,77.0,CM
F. Belluschi,77.0,CAM
O. Abdulrahman,77.0,CAM
O. Trejo,77.0,CM
N. Barella,77.0,CM
Angeliño,77.0,FB
Vieirundinho,77.0,CB
F. Orellana,77.0,WM
F. Grillitsch,77.0,CM
C. Ortíz,77.0,CM
Bruno Viana,77.0,CB
J. Maidana,77.0,CB
R. Funes Mori,77.0,CB
D. Kohr,77.0,CDM
F. Higuaín,77.0,CAM
A. Barák,77.0,CM
F. Andone,77.0,ST
Adrián,77.0,ST
G. González,77.0,CB
Otávio,77.0,CDM
D. Janmaat,77.0,FB
R. Funes Mori,77.0,ST
P. Schick,77.0,ST
Aleix Vidal,77.0,FB
A. Schöpf,77.0,WM
W. Boly,77.0,CB
Alberto Moreno,77.0,FB
C. Villanueva,77.0,CAM
M. Weiser,77.0,FB
G. Escalante,77.0,CDM
M. Holgate,76.0,CB
J. Hopf,76.0,GK
D. Zurutuza,76.0,CDM
Juanmi,76.0,WM
K. Gibbs,76.0,FB
F. Fernández,76.0,CB
L. Kalinić,76.0,GK
N. Radoja,76.0,CM
N. Blandi,76.0,ST
David Juncà,76.0,FB
Wu Lei,76.0,FW
Gabriel Boschilia,76.0,FW
Iuri Medeiros,76.0,WM
M. Phillips,76.0,WM
Iván Cuéllar,76.0,GK
J. Lössl,76.0,GK
Mario Suárez,76.0,CM
W. Bony,76.0,ST
S. Doumbia,76.0,ST
D. Reyes,76.0,CB
Bernat,76.0,FB
V. Behrami,76.0,CM
S. Langkamp,76.0,CB
J. Sosa,76.0,CDM
A. Touré,76.0,CM
Jesé,76.0,WM
D. Ings,76.0,ST
M. Esser,76.0,GK
F. Acheampong,76.0,ST
R. Knoche,76.0,CB
O. Vlachodimos,76.0,GK
J. Denayer,76.0,CB
S. Rode,76.0,CDM
Wendel,76.0,CM
A. Nagy,76.0,CDM
Alfa Semedo,76.0,CDM
A. Barnes,76.0,ST
Alan Kardec,76.0,ST
Marcelo,76.0,CB
E. Boateng,76.0,ST
Dalbert,76.0,FB
A. Halilović,76.0,WM
I. Popov,76.0,ST
T. Cleverley,76.0,CM
M. Livaja,76.0,CAM
M. Uribe,76.0,CM
P. Bargfrede,76.0,CDM
J. Jankto,76.0,WM
Junior Firpo,76.0,WM
D. D'Ambrosio,76.0,FB
D. Boyko,76.0,GK
M. Díaz,76.0,CDM
S. Vokes,76.0,ST
Héldon,76.0,WM
Mario Hermoso,76.0,CB
F. Bartels,76.0,WM
K. Malcuit,76.0,FB
R. Marin,76.0,CM
Ayoze Pérez,76.0,CF
Júnior Moraes,76.0,ST
V. Berisha,76.0,WM
R. Freuler,76.0,CDM
Ganso,76.0,CAM
Vicente Gómez,76.0,CM
M. Pašalić,76.0,CM
Vitor Hugo,76.0,CB
B. Fornaroli,76.0,ST
R. Snodgrass,76.0,WM
Francisco Geraldes,76.0,CAM
I. Ordets,76.0,CB
D. Santon,76.0,FB
M. Niang,76.0,FW
O. Wendt,76.0,FB
C. Riveros,76.0,CAM
F. Benković,76.0,CB
M. Torres,76.0,CAM
M. Noble,76.0,CM
M. Rashica,76.0,FW
C. Benteke,76.0,ST
Rômulo,76.0,WM
D. Pabón,76.0,FW
Embarba,76.0,WM
C. Kerbrat,76.0,CB
L. Teodorczyk,76.0,ST
Alexo Baia,76.0,FB
David Seijalbo,76.0,CDM
N. Nández,76.0,CM
L. Rupp,76.0,CM
Jordi Amat,76.0,CB
W. Caballero,76.0,GK
F. Di Francesco,76.0,FW
O. El Kaddouri,76.0,CAM
T. Rogić,76.0,CAM
G. Töre,76.0,WM
M. Destro,76.0,ST
Josué,76.0,CAM
A. Bizzarri,76.0,GK
Ki Sung Yueng,76.0,CM
H. Onyekuru,76.0,ST
N. Pépé,76.0,WM
Matheus Pereira,76.0,WM
Y. Salibur,76.0,WM
E. Vargas,76.0,CAM
L. Magallán,76.0,CB
Danny,76.0,CAM
C. Hérelle,76.0,CB
E. Mangala,76.0,CB
O. Selnæs,76.0,CDM
Víctor Vázquez,76.0,CAM
Diego Mariño,76.0,GK
Carles Planas,76.0,FB
G. Fernández,76.0,CAM
Soldado,76.0,ST
A. Ekdal,76.0,CM
Gedson Fernandes,76.0,CM
M. Darmian,76.0,FB
N. Chalobah,76.0,CDM
R. Pizarro,76.0,CM
André Simões,76.0,CM
S. Tshabalala,76.0,WM
L. Rossettini,76.0,CB
F. Viviani,76.0,CM
M. de Roon,76.0,CDM
Rubén Duarte,76.0,FB
Y. Ōsako,76.0,CF
Gil,76.0,CB
A. Ruiz,76.0,CF
P. van Aanholt,76.0,FB
S. Meïté,76.0,CM
K. Dolberg,76.0,ST
Juli Freitinho,76.0,CB
L. Vietto,76.0,ST
A. Izzo,76.0,CB
A. Paloschi,76.0,ST
G. Gönül,76.0,FB
Llorente,76.0,ST
J. Morel,76.0,CB
G. Kakuta,76.0,WM
João Pedro,76.0,ST
S. García,76.0,FB
Eltildo Correia,76.0,CB
Kenedy,76.0,WM
M. Moralez,76.0,CM
N. Vukčević,76.0,CDM
F. Borini,76.0,FW
I. Sarr,76.0,WM
C. Clark,76.0,CB
Mata,76.0,ST
M. Albrighton,76.0,WM
A. Gray,76.0,ST
F. Guarín,76.0,CDM
Yoel,76.0,GK
J. Cuadrado,76.0,GK
S. Widmer,76.0,FB
B. Dzsudzsák,76.0,FW
P. Mantalos,76.0,WM
S. Proto,76.0,GK
A. Mehmedi,76.0,CAM
Pablo,76.0,CB
I. Slimani,76.0,ST
C. Erkin,76.0,FB
D. Chygrynskyi,76.0,CB
Beto,76.0,GK
A. Samaris,76.0,CDM
G. Lapadula,76.0,ST
Dênildo Stein,76.0,ST
S. Padt,76.0,GK
S. Taïder,76.0,CM
F. Klaus,76.0,WM
H. Nordtveit,76.0,CB
L. Zuffi,76.0,CAM
Emilio Piodão,76.0,CDM
S. Zuber,76.0,WM
J. Palomino,76.0,CB
Y. Mutō,76.0,ST
J. Altidore,76.0,ST
M. Barbosa,76.0,GK
G. Laborde,76.0,ST
P. Baysse,76.0,CB
Eric Botteghin,76.0,CB
Iván Alejo,76.0,WM
S. Blanco,76.0,CF
Thiago Mendes,76.0,CDM
D. Brosinski,76.0,FB
T. Monconduit,76.0,CDM
Andrés Fernández,76.0,GK
Eraso,76.0,CAM
S. Hanni,76.0,FW
M. Konaté,76.0,ST
C. Théréau,76.0,FW
A. Donatti,76.0,CB
T. Jedvaj,76.0,FB
Pedro Henrique,76.0,CB
J. Briand,76.0,ST
F. Lustenberger,76.0,CB
J. Ayew,76.0,ST
S. Sanogo,76.0,CM
R. Thomas,76.0,CB
Rafael Cachoira,76.0,CB
N. Sansone,76.0,ST
E. Bičakčić,76.0,CB
J. Veltman,76.0,FB
A. Knockaert,76.0,WM
Douglas Santos,76.0,FB
S. Bocchetti,76.0,CB
M. Dembélé,76.0,ST
E. Valencia,76.0,ST
F. Mollet,76.0,CAM
D. Dumfries,76.0,FB
Koo Ja Cheol,76.0,CAM
A. Petagna,76.0,ST
De Tomás,76.0,ST
E. Balanta,76.0,CB
T. Koubek,76.0,GK
J. Allen,76.0,CDM
Alan Carvalho,76.0,ST
S. Ristovski,76.0,FB
Maicón,76.0,WM
D. Quintero,76.0,CAM
P. Højbjerg,76.0,CM
I. Santini,76.0,ST
Vieirinha,76.0,FB
M. Boselli,76.0,ST
L. Antonelli,76.0,FB
B. Embolo,76.0,ST
V. Eysseric,76.0,FW
C. Salcedo,76.0,CB
A. Ranocchia,76.0,CB
L. Unnerstall,76.0,GK
T. Baumgartl,76.0,CB
F. Bustos,76.0,FB
P. Jansson,76.0,CB
W. Vainqueur,76.0,CDM
S. Kverkvelia,76.0,CB
Rubén Blanco,76.0,GK
P. Aguilar,76.0,CB
A. Ndiaye Diedhiou,76.0,WM
Rafinha,76.0,FB
D. Limberský,76.0,FB
G. Cabral,76.0,CB
J. De Guzmán,76.0,CM
S. Terodde,76.0,ST
J. Fernandes,76.0,WM
Kiko Femenía,76.0,FB
Recio,76.0,CM
A. Samedov,76.0,FW
A. Smith,76.0,FB
Maurício,76.0,CDM
D. Stephens,76.0,CM
Miguel Lopes,76.0,FB
I. Belfodil,76.0,ST
J. Campbell,76.0,CF
Marc Roca,76.0,CDM
M. Veljković,76.0,CB
J. Willems,76.0,FB
A. Lennon,76.0,WM
F. Forster,76.0,GK
Júnior Caiçara,76.0,FB
C. Biraghi,76.0,FB
Aritz Elustondo,76.0,CB
Fred Aníbão,76.0,GK
O. Romero,76.0,WM
Nelsildo Reis,76.0,GK
V. Koziello,76.0,CM
A. Cresswell,76.0,FB
Alex Berenguer,76.0,WM
C. Davies,76.0,CB
C. Kouyaté,76.0,CM
Y. Kobayashi,76.0,ST
Camarasa,76.0,WM
J. Martin,76.0,CM
J. Grealish,76.0,CM
D. Pelkas,76.0,WM
J. Montero,76.0,WM
J. Forrest,76.0,WM
Varela,76.0,CB
M. Antenucci,76.0,ST
R. Durmisi,76.0,FB
P. Schwegler,76.0,CDM
A. Hunt,76.0,CM
Aday Benítez,76.0,FB
K. Tierney,76.0,FB
Jaume,76.0,GK
S. Gigot,76.0,CB
I. Brizuela,76.0,WM
A. Souquet,76.0,FB
A. Delort,76.0,ST
P. Zabaleta,76.0,FB
Andeson Trigo,76.0,FB
J. Gnagnon,76.0,CB
Mosquera,76.0,CDM
I. Bebou,76.0,WM
R. Morrison,76.0,CAM
L. Christodoulopoulos,76.0,WM
J. McArthur,76.0,WM
R. Olsen,76.0,GK
W. Hoedt,76.0,CB
R. Holding,76.0,CB
F. Montero,76.0,ST
N. Sliti,76.0,WM
J. Vázquez,76.0,CM
Rodrigo Ely,76.0,CB
M. Benítez,76.0,CAM
Y. Yazıcı,76.0,WM
Y. Sankharé,76.0,CM
A. N'Diaye,76.0,CDM
S. Bell,76.0,CB
K. Linetty,76.0,CM
F. Uduokhai,76.0,CB
M. Samatta,76.0,ST
Barragán,76.0,FB
R. Hamouma,76.0,WM
L. Skorupski,76.0,GK
Toño García,76.0,WM
A. Szalai,76.0,ST
Raúl Navas,76.0,CB
B. Koné,76.0,CB
J. Brekalo,76.0,FW
Diego Tardelli,76.0,ST
A. Hegazi,76.0,CB
M. Sels,76.0,GK
D. Gray,76.0,WM
M. Pjaca,76.0,FW
M. Arambarri,76.0,CM
A. Ćorić,76.0,CAM
T. Gebre Selassie,76.0,FB
C. Nkunku,76.0,CM
M. Topal,76.0,CDM
Léo Matos,76.0,FB
F. Kainz,76.0,FW
B. Henrichs,76.0,FB
Victildinho,76.0,FB
D. Praet,76.0,CM
A. Umar,76.0,WM
J. Orozco,76.0,GK
N. El Zhar,76.0,WM
O. Colley,76.0,CB
J. Aholou,76.0,CDM
G. Clichy,76.0,FB
Rubén Sobrino,76.0,ST
J. Iturbe,76.0,FW
H. Soudani,76.0,ST
M. Bradley,76.0,CDM
Z. Labyad,76.0,CAM
D. Mbokani,76.0,ST
T. Mangani,76.0,CM
A. Lunin,76.0,GK
E. Insúa,76.0,FB
N. Domingo,76.0,CDM
D. Yedlin,76.0,FB
D. González,76.0,CM
T. Kraft,76.0,GK
M. Simon,76.0,WM
Davi Parrela,76.0,CB
N. Domínguez,76.0,CDM
C. Dawson,76.0,CB
A. Rusnák,76.0,CAM
Paulo Oliveira,76.0,CB
A. Gomis,76.0,GK
H. Tekin,76.0,GK
Tozé,76.0,WM
R. Ruidíaz,76.0,ST
J. Hogg,76.0,CM
L. Holtby,76.0,CM
A. Djiku,76.0,CB
O. Alonso,76.0,CDM
S. Berge,76.0,CM
C. Zambrano,76.0,CB
M. Antonio,76.0,WM
J. Clasie,76.0,CM
Diego Rico,76.0,FB
Mossoró,76.0,CAM
G. Donsah,76.0,CM
Felipe,75.0,CB
S. Fofana,75.0,CM
Pablo Santos,75.0,CB
J. Svensson,75.0,FB
E. Roco,75.0,CB
F. Midtsjø,75.0,CM
Francis,75.0,WM
Ivi,75.0,WM
Unai Núñez,75.0,CB
L. Lerager,75.0,CM
P. De Blasis,75.0,WM
M. Zajc,75.0,CAM
J. Stanislas,75.0,WM
Lucas Evangelista,75.0,CM
M. Stoch,75.0,WM
S. van Beek,75.0,CB
Fabrio Farinha,75.0,WAM
M. Kozáčik,75.0,GK
Fran Sol,75.0,ST
R. Otero,75.0,WM
G. Maripán,75.0,CB
M. Braithwaite,75.0,ST
E. Dilaver,75.0,CB
R. Álvarez,75.0,CAM
A. Masuaku,75.0,FB
Rolando,75.0,CB
Fran Rico,75.0,CDM
D. Tarasov,75.0,CDM
Alcalá,75.0,CB
Alan Patrick,75.0,CDM
L. Refaelov,75.0,CM
Y. Gazinskiy,75.0,CDM
Palhinha,75.0,CDM
Balenziaga,75.0,FB
R. Petrović,75.0,CDM
K. Ansarifard,75.0,ST
M. Ninković,75.0,WM
A. Talavera,75.0,GK
A. Barrada,75.0,CAM
J. Korb,75.0,FB
F. Gutiérrez,75.0,CM
T. Bongonda,75.0,WM
Simão Donatinho,75.0,GK
Luís Hernández,75.0,CB
L. Balogun,75.0,CB
M. Rog,75.0,CM
B. Dočkal,75.0,CAM
J. Durmaz,75.0,CAM
T. Kádár,75.0,CB
E. Andrada,75.0,GK
Z. Steffen,75.0,GK
M. Lestienne,75.0,WM
M. Alustiza,75.0,CAM
Borja Mayoral,75.0,ST
D. Bonera,75.0,CB
Saúl Berjón,75.0,WM
C. Beauvue,75.0,FW
Danilo,75.0,CM
J. Hernández,75.0,CDM
J. Hendrick,75.0,CM
M. Lopez,75.0,CM
F. Hanin,75.0,FB
D. Machís,75.0,WM
A. Potuk,75.0,CAM
Idris,75.0,CDM
N. Cardozo,75.0,WM
Javi López,75.0,FB
G. Pandev,75.0,CAM
Júlio Tavares,75.0,ST
D. Liénard,75.0,CM
Y. Pelé,75.0,GK
L. Sepe,75.0,GK
J. Bruma,75.0,CB
O. Duarte,75.0,CB
A. Franco,75.0,CB
Dani Olmo,75.0,CAM
F. Di Santo,75.0,ST
Jozabed,75.0,CDM
G. Carrillo,75.0,ST
M. Zeegelaar,75.0,FB
G. Ferrari,75.0,CB
O. Şahiner,75.0,WM
I. Traoré,75.0,CB
T. Arslan,75.0,CDM
N. Araújo,75.0,CB
S. Armstrong,75.0,CM
K. Billiat,75.0,ST
Ivan Cavaleiro,75.0,FW
E. Cabaco,75.0,CB
Silas Almeim,75.0,FB
C. Kameni,75.0,GK
Hélder Costa,75.0,FW
E. Durm,75.0,FB
Emerson,75.0,FB
G. Haraguchi,75.0,WM
C. Fuchs,75.0,FB
E. Kalinski,75.0,CDM
Rafael,75.0,GK
F. Frei,75.0,CDM
M. Risse,75.0,FB
V. Cáceres,75.0,CDM
Renan Bressan,75.0,CM
Lucas Lima,75.0,FB
M. Silvestre,75.0,CB
Portillo,75.0,WM
F. Rønnow,75.0,GK
N. Spolli,75.0,CB
S. Rajković,75.0,CB
R. Berić,75.0,ST
V. Hernández,75.0,WM
Claudemir,75.0,CM
T. Jantschke,75.0,CB
L. Schaub,75.0,WM
P. Tschauner,75.0,GK
Gabrisco Aníbal,75.0,CDM
B. Feilhaber,75.0,CM
A. Grassi,75.0,CM
N. Vikonis,75.0,GK
P. Ntep,75.0,WM
L. Vangioni,75.0,FB
S. Okazaki,75.0,CF
Diego Castro,75.0,WM
C. Jallet,75.0,FB
O. Pineda,75.0,CDM
A. Mounier,75.0,WM
Sandro,75.0,CM
N. Redmond,75.0,WM
Gálvez,75.0,CB
A. Song,75.0,CDM
E. Badu,75.0,CM
M. Agu,75.0,CDM
Jason,75.0,WM
S. Cristóforo,75.0,CDM
L. Butelle,75.0,GK
Allan Bardinho,75.0,WAM
P. Dummett,75.0,FB
H. Villalba,75.0,WM
K. Amian,75.0,FB
José Mirazar,75.0,FW
A. Hernández,75.0,ST
Ailton Guevara,75.0,CAM
O. Akhmedov,75.0,CM
Naldo,75.0,CB
Y. Ayoub,75.0,CM
A. Ring,75.0,CDM
B. Ndiaye,75.0,CM
Kaku,75.0,CAM
Adilson Edrada,75.0,CAM
A. Ibargüen,75.0,WM
Iraizoz,75.0,GK
N. Nikolić,75.0,ST
J. Kurtić,75.0,WM
K. Wimmer,75.0,CB
A. Mejía,75.0,CDM
A. Barreca,75.0,FB
Gil Dias,75.0,WM
J. Locadia,75.0,ST
S. Kryvtsov,75.0,CB
O. Peralta,75.0,ST
C. Budescu,75.0,ST
A. Raggi,75.0,CB
R. Donk,75.0,CDM
Edgar Méndez,75.0,WM
L. De Silvestri,75.0,WM
M. Saracchi,75.0,FB
D. Congré,75.0,CB
M. Fritzler,75.0,CDM
T. Kolodziejczak,75.0,FB
Caio Nunson,75.0,CB
Felipe Vizeu,75.0,ST
J. Damm,75.0,WM
Guilherme,75.0,CDM
G. Nkoudou,75.0,WM
Joel Robles,75.0,GK
B. Zungu,75.0,CDM
Otávio Cairinho,75.0,CB
P. Gouano,75.0,CB
C. Domínguez,75.0,WM
R. Falk,75.0,CM
André Ramalho,75.0,CB
G. Schennikov,75.0,FB
M. Morozyuk,75.0,FB
J. van der Heijden,75.0,CB
A. Musa,75.0,WM
A. Diaby,75.0,WM
G. İnler,75.0,CDM
L. Cigarini,75.0,CM
Júnior Urso,75.0,CM
B. Butko,75.0,FB
R. Thomas,75.0,CM
M. Jensen,75.0,CM
Burgui,75.0,WM
A. Meret,75.0,GK
M. Gonalons,75.0,CDM
D. Valdés,75.0,CAM
Marafona,75.0,GK
R. Karsdorp,75.0,FB
I. Opara,75.0,CB
K. Laimer,75.0,FB
O. Kamara,75.0,ST
S. Gentiletti,75.0,CB
Serey Dié,75.0,CDM
A. Westwood,75.0,CM
C. Ciano,75.0,CF
A. Conti,75.0,WM
Bojan,75.0,CAM
C. Vargas,75.0,GK
Éder,75.0,ST
Y. Benzia,75.0,CAM
W. Hennessey,75.0,GK
E. Thommy,75.0,WM
Bustinza,75.0,CB
Bernardo,75.0,FB
P. Cissé,75.0,ST
Oier,75.0,GK
D. Gayle,75.0,ST
Joelinton,75.0,ST
A. Pérez,75.0,CDM
B. Jones,75.0,GK
J. Drmić,75.0,ST
M. Mount,75.0,CM
A. McGregor,75.0,GK
O. Elabdellaoui,75.0,FB
R. Steffen,75.0,FW
K. Kanga,75.0,CM
J. Ananidze,75.0,CAM
S. Ilsanker,75.0,CDM
A. Blake,75.0,GK
Nicholas Aldair,75.0,ST
R. Sessegnon,75.0,WM
Jorginhson,75.0,CDM
Carlitos,75.0,ST
L. Nguyen,75.0,CM
A. Paschalakis,75.0,GK
Fabrício,75.0,ST
M. Coco,75.0,WM
K. Babacar,75.0,ST
Postigo,75.0,CB
Renato Sanches,75.0,CM
M. Caruzzo,75.0,CB
G. Konan,75.0,FB
S. Mounié,75.0,ST
P. Capelle,75.0,FB
T. Davies,75.0,CM
N. Dirar,75.0,WM
J. Toornstra,75.0,CAM
Paulinho,75.0,CM
S. Larsson,75.0,FW
P. Tau,75.0,FW
J. Kluivert,75.0,FW
H. Ayala,75.0,CB
Miguel Silva,75.0,GK
D. Rolán,75.0,ST
L. Klostermann,75.0,FB
G. Rodríguez,75.0,CM
M. Locatelli,75.0,CDM
F. Caputo,75.0,ST
A. Roa,75.0,WM
Keko,75.0,WM
A. El Khayati,75.0,CAM
F. Schär,75.0,CB
A. Haidara,75.0,CM
Chema Rodríguez,75.0,CB
G. dos Santos,75.0,CF
T. Bifouma,75.0,WM
Dani Rochelinhas,75.0,CAM
M. Ostrzolek,75.0,FB
Sandro,75.0,ST
L. Deaux,75.0,CDM
J. Vuković,75.0,CB
J. Hansen,75.0,GK
Gonçalo Paciência,75.0,ST
Córdoba,75.0,FW
P. Pekarík,75.0,FB
Ximo Navarro,75.0,CB
Pablo Hernández,75.0,WM
G. Kashia,75.0,CB
Cássio,75.0,GK
S. Bamba,75.0,CB
S. Kums,75.0,CM
Fábio Martins,75.0,WM
M. Suárez,75.0,ST
S. Mitrović,75.0,CB
D. Aogo,75.0,CM
B. Engels,75.0,CB
F. Tait,75.0,WM
D. Zagadou,75.0,CB
M. Diamé,75.0,CM
A. Younes,75.0,FW
B. Verstraete,75.0,CM
K. Akpoguma,75.0,CB
B. Santamaria,75.0,CM
E. Moretti,75.0,CB
H. Behrens,75.0,CDM
M. Maignan,75.0,GK
Y. Karamoh,75.0,WM
V. Ignatiev,75.0,FB
A. Thomasson,75.0,WM
D. Amartey,75.0,FB
R. Özcan,75.0,GK
A. Donnarumma,75.0,ST
Timor,75.0,CM
C. McGregor,75.0,CDM
R. Martínez,75.0,ST
V. Buyalskyi,75.0,CDM
H. Arter,75.0,CM
A. Mawson,75.0,CB
F. Guilbert,75.0,FB
M. Lemos,75.0,CB
S. Sturaro,75.0,CM
A. Duncan,75.0,CM
Marlon,75.0,CB
M. Isla,75.0,FB
Thiago Maia,75.0,CDM
Y. Aït Bennasser,75.0,CM
O. Toivonen,75.0,ST
J. Urretaviscaya,75.0,FW
Yuri Ribeiro,75.0,FB
N. Tomović,75.0,FB
F. Roncaglia,75.0,CB
R. Botta,75.0,WM
R. Mandragora,75.0,CM
A. Adomah,75.0,WM
D. Samassékou,75.0,CM
M. Yoshida,75.0,CB
N. Viergever,75.0,CB
R. Amalfitano,75.0,CDM
D. Cataldi,75.0,CM
Martín,75.0,FB
Tiago Pinto,75.0,FB
Fernandinho,75.0,CAM
C. Cueva,75.0,WM
M. Gaćinović,75.0,CM
G. Shoji,75.0,CB
L. Rigoni,75.0,CM
M. Krmenčík,75.0,ST
M. Mevlja,75.0,CB
C. Daniels,75.0,FB
K. Stafylidis,75.0,FB
Sabin Merino,75.0,FW
A. Flint,75.0,CB
Brais Méndez,75.0,WM
Merino,75.0,CM
S. Missiroli,75.0,CM
Serantes,75.0,GK
V. Guzmán,75.0,CM
D. Biseswar,75.0,WM
E. Mas,75.0,FB
Nuno Pinto,75.0,FB
Carlos Mané,75.0,WM
Borja Valle,75.0,ST
Zeca,75.0,CDM
C. Toselli,75.0,GK
M. Bizot,75.0,GK
